dataset,nodes,edges,modularity,num_features,density,num_labels,assortativity,consensus_louvain_k,NMI_true_vs_consensus_louvain,ECS_true_vs_consensus_louvain,F1_feature_predict_true_labels,NMI_features_vs_true_labels,ECS_features_vs_true_labels,NMI_features_vs_consensus_louvain,ECS_features_vs_consensus_louvain,Mantel_r,Mantel_p,links to dataset
Wiki,2405,11596,0.5048366101370020,4973,0.004011332463911500,17,0.5639727559446620,53,0.3614778389220710,0.27950504313547300,0.6711375943297900,0.30456355808716000,0.17131294143940500,0.22309001759065300,0.12243831788851000,-0.04381327631105260,1.0,
Facebook,4039,88234,0.4815845437123550,1283,0.010819963503439300,151,0.5351105773784280,15,0.6291579604576850,0.29376164525041200,0.16631726113893100,0.2736791060694550,0.04218522937105410,0.14954344937621700,0.1359904812922990,0.04972022188286460,0.001,
Cora,2708,5278,0.6401188105775140,1433,0.0014399999126942100,7,0.771085422300209,89,0.44798678321362100,0.31706400819182000,0.6877893076965030,0.07678702023120990,0.20106418766541200,0.24993084865623600,0.11737388783900500,-0.029468904164032000,0.976,
Citeseer,3312,4536,0.54016109901894,3703,0.0008272819192940530,6,0.673092257667987,452,0.32168842426216700,0.14854246088363400,0.6350019818517170,0.14378073529861800,0.220155427957212,0.41521743069621100,0.10562919413041300,-0.006857973582986290,0.699,
Actor,7600,26659,0.002181910121096110,932,0.000923217043793851,5,0.002777930010916390,31,0.0052453460637531100,0.13271387557174000,0.34870807829008900,0.009964199266596110,0.20279089554763000,0.016963003242762900,0.06336821917176010,-0.003987990853949680,0.703,
BlogCatalog,5196,171743,0.22423039503009900,8189,0.012724899067247300,6,0.2724038206831960,9,0.23716478745721500,0.22241714271438200,0.9149703746579840,0.1556004577368910,0.21365245633161700,0.025500592494636300,0.16643941684755300,0.010679161613371000,0.188,
BitcoinTransactions,7880,9164,0.21684095489895500,165,0.00029520095505433400,3,0.49913724389497800,83,0.05414728001671380,0.03610752560814360,0.6248274522856250,0.0847200904070094,0.6043338520119540,0.22835975568605800,0.04778275987045360,0.0013790976371380000,0.412,
lastfm_asia,7624,27806,0.75082449202911,7842,0.0009568849118596330,18,0.8561786926984970,28,0.6201139175916230,0.5054172620270350,0.5501744409205150,0.11329953011097200,0.11106858094611400,0.1538553492532130,0.08772697375784500,-0.015635052729213800,0.014,
BitcoinTransactions,7880,9164,0.21684095489895500,165,0.00029520095505433400,3,0.49913724389497800,74,0.05270597671960730,0.03457209933969410,0.6248274522856250,0.0847200904070094,0.6043338520119540,0.22206098093100500,0.05452034355907100,-0.11675788244224100,0.002,
Wiki,2405,11596,0.5048366101370020,4973,0.004011332463911500,17,0.5639727559446620,55,0.3581731716882090,0.26505154370054100,0.6711375943297900,0.30456355808716000,0.17131294143940500,0.273865285071514,0.1465693598206910,0.0009128801413825680,0.938,https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.AttributedGraphDataset.html#torch_geometric.datasets.AttributedGraphDataset
