dataset,nodes,edges,modularity,num_features,density,num_labels,assortativity,consensus_louvain_k,NMI_true_vs_consensus_louvain,ECS_true_vs_consensus_louvain,F1_feature_predict_true_labels,NMI_features_vs_true_labels,ECS_features_vs_true_labels,NMI_features_vs_consensus_louvain,ECS_features_vs_consensus_louvain,Mantel_r,Mantel_p,links to dataset
Facebook,4039,88234,0.4815845437123550,1283,0.010819963503439300,151,0.5351105773784280,16,0.634746837896954,0.30044675290318400,0.16631726113893100,0.2736791060694550,0.04218522937105410,0.15428223864186000,0.12479346919935000,-0.06773650415971730,0.002,https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.AttributedGraphDataset.html#torch_geometric.datasets.AttributedGraphDataset
Cora,2708,5278,0.6401188105775140,1433,0.0014399999126942100,7,0.771085422300209,90,0.46259205100282700,0.32394203263578200,0.6877893076965030,0.07678702023120990,0.20106418766541200,0.258170359287108,0.12165831922622900,-0.006680161558850740,0.61,https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.AttributedGraphDataset.html#torch_geometric.datasets.AttributedGraphDataset
Citeseer,3312,4536,0.54016109901894,3703,0.0008272819192940530,6,0.673092257667987,455,0.32259697361791700,0.10983189888658700,0.6350019818517170,0.14378073529861800,0.220155427957212,0.4224905294431070,0.098477164439532,-0.015159963560002200,0.168,https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.AttributedGraphDataset.html#torch_geometric.datasets.AttributedGraphDataset
Actor,7600,26659,0.002181910121096110,932,0.000923217043793851,5,0.002777930010916390,6,0.0006234661541948700,0.20674195961233400,0.34870807829008900,0.009964199266596110,0.20279089554763000,0.0010686443474020200,0.22811485942575000,0.005856408862931110,0.39,https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.Actor.html#torch_geometric.datasets.Actor
BlogCatalog,5196,171743,0.22423039503009900,8189,0.012724899067247300,6,0.2724038206831960,7,0.20851235937735200,0.22353707028004000,0.9149703746579840,0.1556004577368910,0.21365245633161700,0.022328333444428300,0.2358143779387720,-0.008696500607441190,0.334,https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.AttributedGraphDataset.html#torch_geometric.datasets.AttributedGraphDataset
BitcoinTransactions,7880,9164,0.21684095489895500,165,0.00029520095505433400,3,0.49913724389497800,27,0.060508876206197000,0.11759996489735000,0.6248274522856250,0.0847200904070094,0.6043338520119540,0.12338133959657300,0.0999911033554813,-0.11675788244224100,0.002,Largest CC of https://pytorch-geometric.readthedocs.io/en/2.6.0/generated/torch_geometric.datasets.EllipticBitcoinDataset.html#torch_geometric.datasets.EllipticBitcoinDataset
lastfm_asia,7624,27806,0.75082449202911,7842,0.0009568849118596330,18,0.8561786926984970,15,0.6098486387180150,0.5038836063548020,0.5501744409205150,0.11329953011097200,0.11106858094611400,0.11413183456662400,0.12140922392988000,-0.015635052729213800,0.014,https://snap.stanford.edu/data/feather-lastfm-social.htmlWiki
Wiki,2405,11596,0.5048366101370020,4973,0.004011332463911500,17,0.5639727559446620,58,0.3697321499058970,0.23972995210376100,0.6711375943297900,0.30456355808716000,0.17131294143940500,0.27113421995537700,0.12882321437733900,0.0009128801413825680,0.938,
Facebook,4039,88234,0.4815845437123547,1283,0.010819963503439287,151,0.5351105773784278,16,0.6335791563720384,0.2986039198954999,0.16631726113893108,0.2736791060694552,0.04218522937105408,0.15472724293685255,0.12488406521445214,-0.06773650415971731,0.002,
Cora,2708,5278,0.6401188105775136,1433,0.0014399999126942077,7,0.771085422300209,100,0.48383871562078756,0.30248540985841976,0.6877893076965026,0.07678702023120988,0.20106418766541245,0.2851501446194696,0.11605842417637711,-0.006680161558850737,0.61,
Citeseer,3312,4536,0.54016109901894,3703,0.0008272819192940528,6,0.673092257667987,459,0.3251120709700995,0.0977961734346903,0.6350019818517171,0.14378073529861843,0.220155427957212,0.43218622384492256,0.09746861184874786,-0.015159963560002163,0.168,
Actor,7600,26659,0.002181910121096106,932,0.000923217043793851,5,0.002777930010916394,15,0.002322081208057263,0.17600309169284117,0.34870807829008876,0.009964199266596105,0.20279089554763022,0.005435552898692688,0.10288510691434012,0.005856408862931109,0.39,
BlogCatalog,5196,171743,0.22423039503009937,8189,0.012724899067247258,6,0.2724038206831961,7,0.20903702508971841,0.2241048176158674,0.9149703746579843,0.1556004577368912,0.21365245633161714,0.02182407279780586,0.23491294256315406,-0.008696500607441189,0.334,
BitcoinTransactions,7880,9164,0.21684095489895466,165,0.00029520095505433387,3,0.49913724389497804,38,0.0556149140856751,0.07256624644845878,0.6248274522856254,0.0847200904070094,0.6043338520119538,0.14692635385493458,0.0742936599474285,-0.11675788244224053,0.002,
lastfm_asia,7624,27806,0.75082449202911,7842,0.0009568849118596328,18,0.8561786926984974,24,0.6305259256721051,0.5264625940481849,0.5501744409205152,0.11329953011097192,0.11106858094611367,0.14966038529230302,0.0908440101644986,-0.015635052729213835,0.014,
