config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,10,42,1,100000,0.9278646029549328,0.9822372642042765,25,22,0.88,-0.9461615681648254,2.136937141418457
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,10,42,2,100001,0.967485294117647,0.9924443630161999,25,23,0.92,-0.9539151191711426,1.9055020809173584
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,10,42,3,100002,0.9128474418805634,0.9792985119021683,25,20,0.8,-0.942583441734314,1.9698002338409424
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,10,42,1,200000,0.9689061302681992,0.9927186522520811,25,23,0.92,-0.8082525730133057,1.580876111984253
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,10,42,2,200001,0.9352978056426332,0.984396042794224,25,22,0.88,-0.7756228446960449,2.184774875640869
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,10,42,3,200002,0.9509344907965597,0.9885098945159753,25,22,0.88,-0.7890793085098267,1.761707067489624
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,10,42,1,300000,0.967485294117647,0.9924443630161999,25,23,0.92,-0.6262544393539429,1.480891227722168
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,10,42,2,300001,0.8899517359950987,0.971905128375809,25,22,0.88,-0.5165838003158569,1.4483819007873535
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,10,42,3,300002,0.9478648648648648,0.9878678197920174,25,25,1.0,-0.6819356679916382,1.4701850414276123
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,10,42,1,400000,0.9319581053201743,0.9839661104797716,25,21,0.84,-0.9462264180183411,1.942521095275879
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,10,42,2,400001,0.9146619058329584,0.9798661641005854,25,20,0.8,-0.9433082938194275,1.8772869110107422
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,10,42,3,400002,0.9321221671552887,0.9840896935605099,25,21,0.84,-0.9462807774543762,1.9474833011627197
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,10,42,1,500000,0.9604247961489341,0.9898610981895439,25,24,0.96,-0.8127380609512329,1.7435691356658936
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,10,42,2,500001,0.8836973928944619,0.9712373310993834,25,23,0.92,-0.7743158936500549,1.4989421367645264
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,10,42,3,500002,0.9525424939045629,0.9888818671284603,25,22,0.88,-0.791115403175354,1.581291913986206
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,10,42,1,600000,0.8881366162573058,0.974535722882225,25,25,1.0,-0.6511741876602173,2.315891981124878
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,10,42,2,600001,0.8956059664191552,0.9749841685105544,25,23,0.92,-0.5602247714996338,1.8374583721160889
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,10,42,3,600002,0.8828622322604931,0.9718533759827075,25,24,0.96,-0.5979471206665039,2.4939980506896973
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,10,42,1,700000,0.936184944047013,0.9851124946251627,25,21,0.84,-0.9478675723075867,4.44183611869812
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,10,42,2,700001,0.9501535947712418,0.9882810941460503,25,22,0.88,-0.9497939944267273,4.129099130630493
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,10,42,3,700002,0.966764705882353,0.9922585141145778,25,23,0.92,-0.9541244506835938,3.622785806655884
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,10,42,1,800000,0.9710344827586207,0.9933002829202063,25,23,0.92,-0.8171718120574951,3.5178771018981934
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,10,42,2,800001,0.9690544827586207,0.9923733447528191,25,24,0.96,-0.8175901770591736,3.578822135925293
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,10,42,3,800002,0.9337899584076055,0.9844103638412335,25,21,0.84,-0.7712584137916565,3.626885175704956
9,mincut,1,32,False,0.0,500,0.005,1.0,,,0.01,5,1000,10,42,1,900000,0.898583650270453,0.9765520601856719,25,25,1.0,-0.6692676544189453,3.6263349056243896
9,mincut,1,32,False,0.0,500,0.005,1.0,,,0.01,5,1000,10,42,2,900001,0.8293225144391103,0.9609744208202413,25,25,1.0,-0.6510999798774719,3.642993927001953
9,mincut,1,32,False,0.0,500,0.005,1.0,,,0.01,5,1000,10,42,3,900002,0.8168786797510336,0.9585519962435077,25,25,1.0,-0.5998026132583618,3.4717860221862793
