config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,30,25,1,100000,0.9514424242424243,0.9868708649848079,18,18,1.0,-0.9630945324897766,1.6963739395141602
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,30,25,2,100001,1.0,1.0,18,18,1.0,-0.9781957864761353,2.3083250522613525
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,30,25,3,100002,0.9589473684210528,0.9893746998421157,18,17,0.9444444444444444,-0.9651303291320801,1.439244031906128
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,30,25,1,200000,0.9664705882352942,0.9916504969663741,18,17,0.9444444444444444,-0.8588968515396118,1.4384398460388184
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,30,25,2,200001,1.0,1.0,18,18,1.0,-0.9215558767318726,1.47068190574646
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,30,25,3,200002,0.968125,0.9920880250163735,18,17,0.9444444444444444,-0.8607838153839111,1.4664640426635742
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,30,25,1,300000,1.0,1.0,18,18,1.0,-0.837802529335022,1.4751629829406738
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,30,25,2,300001,0.9227052767052767,0.9808966958890881,18,18,1.0,-0.7950729727745056,1.438370943069458
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,30,25,3,300002,0.9229195624195624,0.9809340897427363,18,18,1.0,-0.7907907962799072,1.43320894241333
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,30,25,1,400000,1.0,1.0,18,18,1.0,-0.9784704446792603,1.5724501609802246
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,30,25,2,400001,1.0,1.0,18,18,1.0,-0.9784018397331238,1.4664559364318848
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,30,25,3,400002,1.0,1.0,18,18,1.0,-0.9785411953926086,1.487410068511963
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,30,25,1,500000,0.9643243243243244,0.9910550518703559,18,17,0.9444444444444444,-0.8596134781837463,1.5908188819885254
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,30,25,2,500001,1.0,1.0,18,18,1.0,-0.9252451658248901,1.4839468002319336
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,30,25,3,500002,0.9660869565217391,0.9915465242539234,18,17,0.9444444444444444,-0.8597977161407471,1.631105661392212
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,30,25,1,600000,0.918305,0.9799704908721183,18,18,1.0,-0.7785569429397583,1.4715888500213623
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,30,25,2,600001,1.0,1.0,18,18,1.0,-0.8566440939903259,2.179725170135498
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,30,25,3,600002,1.0,1.0,18,18,1.0,-0.8582195043563843,1.5883488655090332
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,30,25,1,700000,1.0,1.0,18,18,1.0,-0.9786849617958069,5.322372913360596
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,30,25,2,700001,1.0,1.0,18,18,1.0,-0.9787362813949585,3.9354491233825684
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,30,25,3,700002,1.0,1.0,18,18,1.0,-0.9785426259040833,3.634190082550049
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,30,25,1,800000,1.0,1.0,18,18,1.0,-0.9258660078048706,3.696924924850464
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,30,25,2,800001,1.0,1.0,18,18,1.0,-0.9264806509017944,3.60611891746521
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,30,25,3,800002,1.0,1.0,18,18,1.0,-0.9262847304344177,3.663935899734497
9,mincut,1,32,False,0.0,500,0.005,1.0,,,0.01,5,1000,30,25,1,900000,1.0,1.0,18,18,1.0,-0.8609527945518494,3.7339179515838623
9,mincut,1,32,False,0.0,500,0.005,1.0,,,0.01,5,1000,30,25,2,900001,1.0,1.0,18,18,1.0,-0.8610391616821289,4.714879035949707
9,mincut,1,32,False,0.0,500,0.005,1.0,,,0.01,5,1000,30,25,3,900002,1.0,1.0,18,18,1.0,-0.8604137897491455,4.069118022918701
10,mincut,1,32,False,0.0,500,0.01,0.1,,,0.01,5,1000,30,25,1,1000000,1.0,1.0,18,18,1.0,-0.9787728786468506,3.625399112701416
10,mincut,1,32,False,0.0,500,0.01,0.1,,,0.01,5,1000,30,25,2,1000001,0.9589473684210528,0.9893746998421157,18,17,0.9444444444444444,-0.9657682180404663,3.681596040725708
10,mincut,1,32,False,0.0,500,0.01,0.1,,,0.01,5,1000,30,25,3,1000002,1.0,1.0,18,18,1.0,-0.9787591695785522,3.3935141563415527
11,mincut,1,32,False,0.0,500,0.01,0.5,,,0.01,5,1000,30,25,1,1100000,1.0,1.0,18,18,1.0,-0.9259516000747681,3.4071459770202637
11,mincut,1,32,False,0.0,500,0.01,0.5,,,0.01,5,1000,30,25,2,1100001,1.0,1.0,18,18,1.0,-0.9265011548995972,3.434519052505493
11,mincut,1,32,False,0.0,500,0.01,0.5,,,0.01,5,1000,30,25,3,1100002,1.0,1.0,18,18,1.0,-0.9266946315765381,3.466215133666992
12,mincut,1,32,False,0.0,500,0.01,1.0,,,0.01,5,1000,30,25,1,1200000,0.9263119565217391,0.981843009559005,18,18,1.0,-0.8020741939544678,3.4520678520202637
12,mincut,1,32,False,0.0,500,0.01,1.0,,,0.01,5,1000,30,25,2,1200001,1.0,1.0,18,18,1.0,-0.8605672121047974,3.5152618885040283
12,mincut,1,32,False,0.0,500,0.01,1.0,,,0.01,5,1000,30,25,3,1200002,1.0,1.0,18,18,1.0,-0.8613166809082031,3.4479548931121826
13,mincut,1,32,False,0.2,200,0.005,0.1,,,0.01,5,1000,30,25,1,1300000,0.8834882594417077,0.9614054866937082,18,16,0.8888888888888888,-0.9453767538070679,1.4230637550354004
