dataset,nodes,edges,modularity,num_features,density,num_labels,assortativity,consensus_louvain_k,NMI_true_vs_consensus_louvain,ECS_true_vs_consensus_louvain,F1_feature_predict_true_labels,NMI_features_vs_true_labels,ECS_features_vs_true_labels,NMI_features_vs_consensus_louvain,ECS_features_vs_consensus_louvain,Mantel_r,Mantel_p
Wiki,2405,11596,0.5048366101370018,4973,0.004011332463911499,17,0.5639727559446616,53,0.3614778389220708,0.27950504313547336,0.6711375943297896,0.30456355808716046,0.17131294143940481,0.22309001759065258,0.12243831788851033,-0.04381327631105258,1.0
Facebook,4039,88234,0.4815845437123547,1283,0.010819963503439287,151,0.5351105773784278,15,0.6291579604576854,0.29376164525041176,0.16631726113893108,0.2736791060694552,0.04218522937105408,0.14954344937621736,0.1359904812922989,0.04972022188286464,0.001
Cora,2708,5278,0.6401188105775136,1433,0.0014399999126942077,7,0.771085422300209,89,0.44798678321362145,0.31706400819182007,0.6877893076965026,0.07678702023120988,0.20106418766541245,0.24993084865623563,0.11737388783900518,-0.029468904164031952,0.976
Citeseer,3312,4536,0.54016109901894,3703,0.0008272819192940528,6,0.673092257667987,452,0.32168842426216665,0.14854246088363368,0.6350019818517171,0.14378073529861843,0.220155427957212,0.41521743069621103,0.10562919413041325,-0.006857973582986291,0.699
Actor,7600,26659,0.002181910121096106,932,0.000923217043793851,5,0.002777930010916394,31,0.0052453460637531075,0.13271387557173972,0.34870807829008876,0.009964199266596105,0.20279089554763022,0.016963003242762866,0.06336821917176008,-0.003987990853949684,0.703
BlogCatalog,5196,171743,0.22423039503009937,8189,0.012724899067247258,6,0.2724038206831961,9,0.23716478745721487,0.22241714271438232,0.9149703746579843,0.1556004577368912,0.21365245633161714,0.025500592494636317,0.16643941684755312,0.010679161613370961,0.188
BitcoinTransactions,7880,9164,0.21684095489895466,165,0.00029520095505433387,3,0.49913724389497804,83,0.05414728001671383,0.03610752560814356,0.6248274522856254,0.0847200904070094,0.6043338520119538,0.22835975568605799,0.04778275987045358,0.0013790976371379987,0.412
lastfm_asia,7624,27806,0.75082449202911,7842,0.0009568849118596328,18,0.8561786926984974,28,0.6201139175916228,0.5054172620270349,0.5501744409205152,0.11329953011097192,0.11106858094611367,0.1538553492532127,0.08772697375784504,-0.015635052729213835,0.014
BitcoinTransactions,7880,9164,0.21684095489895466,165,0.00029520095505433387,3,0.49913724389497804,74,0.05270597671960729,0.03457209933969412,0.6248274522856254,0.0847200904070094,0.6043338520119538,0.22206098093100518,0.05452034355907099,-0.11675788244224053,0.002
