model_name,num_layers,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mean_ECS,std_ECS,mean_NMI,std_NMI,mean_cluster_ratio,std_cluster_ratio,total_runs
diffpool,1,True,0.5,200,0.005,,1.0,1.0,0.8387849790556631,0.08904921625497024,0.9354594141350171,0.029557988566818152,0.20114942528735633,0.009954314986028018,3
diffpool,1,False,0.5,200,0.01,,1.0,1.0,0.8384907902005998,0.03731502002510951,0.9254918774469543,0.01099530874104711,0.24137931034482754,0.034482758620689634,3
diffpool,1,True,0.5,500,0.005,,1.0,1.0,0.8371265664919326,0.1279191390602467,0.9291689911854522,0.05115733399678789,0.1954022988505747,0.043389853076268706,3
diffpool,1,True,0.0,200,0.01,,1.0,0.1,0.8355258535973468,0.06942397027848757,0.9234690001029726,0.030645018242874893,0.20114942528735633,0.009954314986028018,3
diffpool,1,True,0.0,500,0.005,,1.0,0.5,0.8341464994369937,0.047185611647061296,0.9292394571382491,0.017471296095088015,0.21264367816091947,0.009954314986028018,3
diffpool,1,False,0.0,500,0.01,,1.0,0.1,0.8321184568766086,0.04286026147306715,0.9222492372440249,0.010574781027239915,0.264367816091954,0.01990862997205602,3
diffpool,1,True,0.5,200,0.01,,1.0,0.5,0.8315635328744073,0.11184835264096221,0.9260558671639698,0.04914424257316322,0.2068965517241379,0.017241379310344807,3
diffpool,1,False,0.0,500,0.005,,1.0,0.5,0.8312355006930549,0.06845473885899125,0.9250053080626272,0.021006629645918325,0.31609195402298845,0.019908629972056092,3
diffpool,1,False,0.2,500,0.005,,1.0,0.1,0.8312330339709351,0.029171102489500552,0.9206898312347391,0.013995025493949266,0.21264367816091947,0.009954314986028018,3
diffpool,1,False,0.0,500,0.01,,1.0,0.5,0.8311599499461154,0.016488488768888948,0.9208309147398809,0.00796192281535802,0.2873563218390804,0.009954314986028003,3
diffpool,1,True,0.2,500,0.001,,1.0,0.1,0.8310156460853246,0.07908735725418095,0.9227556122299324,0.03195569668420477,0.2068965517241379,0.017241379310344807,3
