config_id,dataset_type,dataset_label,network_name,featurized_sigma_c,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,min_community,graph_seed,num_nodes,num_edges,feature_dim,training_repeat,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
8,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.001,1.0,,,,,,,2405,11596,4973,2,0.12465178832439566,0.09952753133432508,58,2,0.034482758620689655,0.32197093963623047,5.519272804260254
8,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.001,1.0,,,,,,,2405,11596,4973,3,0.15231851521551348,0.510484824163936,58,58,1.0,-0.6807065606117249,5.383680820465088
9,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.005,0.5,,,,,,,2405,11596,4973,1,0.12599520592677413,0.10235002371462243,58,2,0.034482758620689655,-0.3339122533798218,5.363152980804443
9,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.005,0.5,,,,,,,2405,11596,4973,2,0.09336629769062198,0.0,58,1,0.017241379310344827,-0.34093475341796875,5.358986854553223
9,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.005,0.5,,,,,,,2405,11596,4973,3,0.0942047315923975,0.014824612210637644,58,2,0.034482758620689655,-0.34012866020202637,5.3504109382629395
10,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.005,1.0,,,,,,,2405,11596,4973,1,0.09336629769062198,0.0,58,1,0.017241379310344827,0.3181142807006836,5.541697025299072
10,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.005,1.0,,,,,,,2405,11596,4973,2,0.11966126704330672,0.12414158034958728,58,3,0.05172413793103448,0.3237801194190979,5.388792037963867
10,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.005,1.0,,,,,,,2405,11596,4973,3,0.1317810989783802,0.1497653639122976,58,4,0.06896551724137931,0.3212023973464966,5.354245901107788
11,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.01,0.5,,,,,,,2405,11596,4973,1,0.09336629769062198,0.0,58,1,0.017241379310344827,-0.34094130992889404,5.493558645248413
11,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.01,0.5,,,,,,,2405,11596,4973,2,0.09336629769062198,0.0,58,1,0.017241379310344827,-0.3409355878829956,5.393360137939453
11,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.01,0.5,,,,,,,2405,11596,4973,3,0.09336629769062198,0.0,58,1,0.017241379310344827,-0.34094250202178955,5.360142707824707
12,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.01,1.0,,,,,,,2405,11596,4973,1,0.09336629769062198,0.0,58,1,0.017241379310344827,0.31811219453811646,5.350921154022217
12,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.01,1.0,,,,,,,2405,11596,4973,2,0.09336629769062198,0.0,58,1,0.017241379310344827,0.318112850189209,5.396384000778198
12,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,500,0.01,1.0,,,,,,,2405,11596,4973,3,0.09336629769062198,0.0,58,1,0.017241379310344827,0.3181091547012329,5.437743186950684
13,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.001,0.5,,,,,,,2405,11596,4973,1,0.17080441983096542,0.4901914481688825,58,58,1.0,-0.68883216381073,2.2063958644866943
13,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.001,0.5,,,,,,,2405,11596,4973,2,0.16108007082679077,0.5028336767180815,58,58,1.0,-0.6847864389419556,2.248476028442383
13,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.001,0.5,,,,,,,2405,11596,4973,3,0.17803422566123223,0.5090582405047971,58,58,1.0,-0.695885419845581,2.2506229877471924
14,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.001,1.0,,,,,,,2405,11596,4973,1,0.1557136445941336,0.49349000060672865,58,58,1.0,-0.6394509077072144,2.1976330280303955
14,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.001,1.0,,,,,,,2405,11596,4973,2,0.13989966312324406,0.49138016336232504,58,58,1.0,-0.6315534114837646,2.190605878829956
14,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.001,1.0,,,,,,,2405,11596,4973,3,0.14814772843270926,0.5021395030865544,58,58,1.0,-0.6275096535682678,2.189803123474121
15,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.005,0.5,,,,,,,2405,11596,4973,1,0.12584775944008947,0.10430007180002368,58,3,0.05172413793103448,-0.3342823386192322,2.2014260292053223
15,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.005,0.5,,,,,,,2405,11596,4973,2,0.09336629769062198,0.0,58,1,0.017241379310344827,-0.34094923734664917,2.1913888454437256
15,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.005,0.5,,,,,,,2405,11596,4973,3,0.14007204156353772,0.12816868606556173,58,3,0.05172413793103448,-0.3153124451637268,2.187274932861328
16,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.005,1.0,,,,,,,2405,11596,4973,1,0.09336629769062198,0.0,58,1,0.017241379310344827,0.3180983066558838,2.164213180541992
16,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.005,1.0,,,,,,,2405,11596,4973,2,0.14430955967139092,0.15742858124197429,58,3,0.05172413793103448,0.3426697850227356,2.1585142612457275
16,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.005,1.0,,,,,,,2405,11596,4973,3,0.12635659937477658,0.10423612605659108,58,3,0.05172413793103448,0.32311224937438965,2.1981687545776367
17,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.01,0.5,,,,,,,2405,11596,4973,1,0.14034074256206638,0.12576225156690807,58,2,0.034482758620689655,-0.3149348497390747,2.243014097213745
17,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.01,0.5,,,,,,,2405,11596,4973,2,0.09336629769062198,0.0,58,1,0.017241379310344827,-0.3409501314163208,2.218733072280884
17,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.01,0.5,,,,,,,2405,11596,4973,3,0.12534592952611065,0.10086510432881836,58,2,0.034482758620689655,-0.3342251181602478,2.2122418880462646
18,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.01,1.0,,,,,,,2405,11596,4973,1,0.17327810668145918,0.21388400111721909,58,3,0.05172413793103448,0.34496253728866577,2.3361928462982178
18,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.01,1.0,,,,,,,2405,11596,4973,2,0.09336629769062198,0.0,58,1,0.017241379310344827,0.31809818744659424,2.161893129348755
18,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,200,0.01,1.0,,,,,,,2405,11596,4973,3,0.13657814755324368,0.12136599625558644,58,2,0.034482758620689655,0.3413695693016052,2.189333915710449
19,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,500,0.001,0.5,,,,,,,2405,11596,4973,1,0.0965482323280488,0.019660532594568566,58,8,0.13793103448275862,-0.34100353717803955,5.343427658081055
19,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,500,0.001,0.5,,,,,,,2405,11596,4973,2,0.19112725218379367,0.513748759938903,58,58,1.0,-0.712296187877655,5.305973052978516
19,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,500,0.001,0.5,,,,,,,2405,11596,4973,3,0.17987236768484532,0.5193075644152718,58,58,1.0,-0.7163360714912415,5.5777809619903564
20,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,500,0.001,1.0,,,,,,,2405,11596,4973,1,0.16337375130287804,0.5285978180683596,58,58,1.0,-0.6338562965393066,5.371719837188721
20,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.2,500,0.001,1.0,,,,,,,2405,11596,4973,2,0.1478489171241819,0.48874964530724013,58,58,1.0,-0.6634585857391357,5.365726947784424
