config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
11,mincut,1,32,False,0.0,500,0.01,0.5,,,0.01,5,1000,60,7,3,1100002,1.0,1.0,12,12,1.0,-0.9580464959144592,3.6114611625671387
12,mincut,1,32,False,0.0,500,0.01,1.0,,,0.01,5,1000,60,7,1,1200000,1.0,1.0,12,12,1.0,-0.8796632885932922,3.6551849842071533
12,mincut,1,32,False,0.0,500,0.01,1.0,,,0.01,5,1000,60,7,2,1200001,1.0,1.0,12,12,1.0,-0.9211386442184448,5.02292013168335
12,mincut,1,32,False,0.0,500,0.01,1.0,,,0.01,5,1000,60,7,3,1200002,1.0,1.0,12,12,1.0,-0.9230300784111023,4.1221678256988525
13,mincut,1,32,False,0.2,200,0.005,0.1,,,0.01,5,1000,60,7,1,1300000,0.9255999999999999,0.9784732670375277,12,11,0.9166666666666666,-0.960487961769104,1.6596741676330566
13,mincut,1,32,False,0.2,200,0.005,0.1,,,0.01,5,1000,60,7,2,1300001,1.0,1.0,12,12,1.0,-0.9807570576667786,1.5204448699951172
13,mincut,1,32,False,0.2,200,0.005,0.1,,,0.01,5,1000,60,7,3,1300002,0.8447709681308523,0.9543190872316711,12,10,0.8333333333333334,-0.9453449249267578,1.6963932514190674
14,mincut,1,32,False,0.2,200,0.005,0.5,,,0.01,5,1000,60,7,1,1400000,1.0,1.0,12,12,1.0,-0.9509338736534119,1.4182820320129395
14,mincut,1,32,False,0.2,200,0.005,0.5,,,0.01,5,1000,60,7,2,1400001,1.0,1.0,12,12,1.0,-0.9498261213302612,1.435934066772461
14,mincut,1,32,False,0.2,200,0.005,0.5,,,0.01,5,1000,60,7,3,1400002,1.0,1.0,12,12,1.0,-0.949615478515625,1.5052928924560547
15,mincut,1,32,False,0.2,200,0.005,1.0,,,0.01,5,1000,60,7,1,1500000,1.0,1.0,12,12,1.0,-0.9124327898025513,1.5117411613464355
15,mincut,1,32,False,0.2,200,0.005,1.0,,,0.01,5,1000,60,7,2,1500001,1.0,1.0,12,12,1.0,-0.9144588112831116,1.5508852005004883
15,mincut,1,32,False,0.2,200,0.005,1.0,,,0.01,5,1000,60,7,3,1500002,1.0,1.0,12,12,1.0,-0.9122999906539917,1.4237897396087646
16,mincut,1,32,False,0.2,200,0.01,0.1,,,0.01,5,1000,60,7,1,1600000,0.595596856315485,0.8717346772040836,12,7,0.5833333333333334,-0.9213672876358032,1.3769958019256592
16,mincut,1,32,False,0.2,200,0.01,0.1,,,0.01,5,1000,60,7,2,1600001,1.0,1.0,12,12,1.0,-0.9820576310157776,1.3988358974456787
16,mincut,1,32,False,0.2,200,0.01,0.1,,,0.01,5,1000,60,7,3,1600002,1.0,1.0,12,12,1.0,-0.9818859696388245,1.5477969646453857
17,mincut,1,32,False,0.2,200,0.01,0.5,,,0.01,5,1000,60,7,1,1700000,1.0,1.0,12,12,1.0,-0.9515968561172485,1.66756010055542
17,mincut,1,32,False,0.2,200,0.01,0.5,,,0.01,5,1000,60,7,2,1700001,1.0,1.0,12,12,1.0,-0.9516071081161499,1.7906010150909424
17,mincut,1,32,False,0.2,200,0.01,0.5,,,0.01,5,1000,60,7,3,1700002,1.0,1.0,12,12,1.0,-0.952077329158783,1.5432100296020508
18,mincut,1,32,False,0.2,200,0.01,1.0,,,0.01,5,1000,60,7,1,1800000,1.0,1.0,12,12,1.0,-0.9121259450912476,1.6702790260314941
18,mincut,1,32,False,0.2,200,0.01,1.0,,,0.01,5,1000,60,7,2,1800001,1.0,1.0,12,12,1.0,-0.9118356108665466,1.4668941497802734
